,State,Code,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019
146,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
150,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
152,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
157,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,Arkansas,AR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
163,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Arkansas,AR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,Arkansas,AR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
172,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
173,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
174,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,Arkansas,AR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
183,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4
186,Arkansas,AR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
188,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
190,California,CA,4,3,7,2,0,5,3,3,6,3,3,2,4,0,1,8,12,13,2,17
191,California,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,California,CA,0,1,0,0,0,0,1,2,0,0,1,0,0,1,0,2,0,0,0,0
193,California,CA,3,1,3,2,2,0,1,0,2,3,2,0,1,0,2,0,3,0,0,1
194,California,CA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
195,California,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,California,CA,1,5,3,4,0,4,1,0,1,3,1,3,1,4,3,5,8,10,9,4
197,California,CA,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
198,California,CA,0,0,0,0,3,3,3,2,0,3,2,0,2,2,1,2,3,1,0,0
199,California,CA,1,0,1,0,0,0,1,0,2,1,3,0,4,0,0,1,1,0,1,1
200,California,CA,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0
201,California,CA,10,4,5,5,7,11,4,6,6,4,14,8,2,4,5,8,6,2,1,3
202,California,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
203,California,CA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
204,California,CA,2,0,2,1,0,2,1,2,5,2,2,0,0,0,0,1,1,1,0,0
205,California,CA,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,2
206,California,CA,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,2
207,California,CA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,California,CA,2,9,6,7,2,8,11,9,8,7,11,6,0,20,6,4,2,3,4,3
209,California,CA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
210,California,CA,3,1,4,4,0,3,6,3,2,3,4,1,3,6,3,3,3,0,2,8
211,California,CA,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0
212,California,CA,7,4,10,6,2,1,0,5,9,7,10,7,4,1,2,0,1,2,0,11
213,California,CA,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
214,California,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,California,CA,0,0,0,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
216,California,CA,1,1,5,1,1,0,0,0,0,0,1,1,1,1,0,2,2,0,0,3
217,California,CA,2,3,1,0,1,1,0,3,0,2,0,1,2,1,2,1,1,0,2,0
218,California,CA,9,6,3,4,1,3,2,2,2,1,5,6,2,0,0,0,2,0,1,3
219,California,CA,3,0,3,2,0,1,2,1,1,1,7,6,0,0,0,0,0,0,0,0
220,California,CA,1,4,3,0,2,2,3,0,1,4,0,1,2,1,0,0,2,3,0,0
221,California,CA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
222,California,CA,3,2,1,2,1,4,0,0,1,5,1,5,1,2,3,2,4,4,5,3
223,California,CA,3,4,2,4,2,6,3,2,0,0,1,1,0,0,0,0,1,1,3,2
224,California,CA,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
225,California,CA,1,0,0,1,0,0,0,0,1,2,0,2,0,1,0,1,1,0,1,5
226,California,CA,9,3,7,2,4,8,9,5,3,10,10,7,6,6,7,10,7,5,7,1
227,California,CA,2,3,3,3,1,8,6,3,5,1,10,1,1,9,0,0,0,18,16,14
228,California,CA,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,1,0,1,2
229,California,CA,1,0,0,0,0,1,0,0,1,0,0,1,0,3,3,4,2,0,2,1
230,California,CA,2,4,3,5,1,4,2,0,2,11,2,0,1,8,5,5,8,2,0,3
231,California,CA,0,1,2,3,2,0,0,2,2,9,1,5,0,7,1,3,6,3,5,3
232,California,CA,2,2,6,4,0,2,9,2,0,2,4,10,4,12,5,10,16,23,7,6
233,California,CA,5,10,1,7,3,0,6,5,2,5,7,8,6,7,6,7,4,19,9,14
234,California,CA,0,2,1,0,2,2,0,0,0,0,5,1,1,0,0,0,1,1,0,0
235,California,CA,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
236,California,CA,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1
237,California,CA,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,2,2,1
238,California,CA,8,6,4,9,2,9,8,9,9,10,9,3,12,7,10,12,14,16,11,10
239,California,CA,1,2,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,3,6,1
240,California,CA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,California,CA,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
242,California,CA,1,1,1,1,3,3,0,1,0,0,1,1,0,1,1,0,0,0,0,0
243,California,CA,0,2,0,0,0,0,0,1,0,4,2,0,1,1,0,1,1,2,0,8
244,California,CA,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,2
245,California,CA,2,2,1,1,2,1,0,4,2,3,4,0,2,2,0,0,6,4,3,4
246,California,CA,0,0,2,0,1,0,1,1,0,0,0,0,1,1,1,1,1,3,1,3
247,California,CA,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1
248,California,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,Colorado,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
250,Colorado,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,Colorado,CO,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
252,Colorado,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,Colorado,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,Colorado,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,Colorado,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
256,Colorado,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,Colorado,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,Colorado,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,Colorado,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,Colorado,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,Colorado,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,Colorado,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,Colorado,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,Colorado,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,Colorado,CO,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
